Player,Player Link,Player Key,Team,Team Link,Position,Age,2025-26,2026-27,2027-28,2028-29,2029-30
Oso Ighodaro,https://www.spotrac.com/nba/player/_/id/93953/oso-ighodaro,oso-ighodaro,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,C,22,$1955377,$2296271,$2486995,UFA,
Ousmane Dieng,https://www.spotrac.com/nba/player/_/id/78118/ousmane-dieng,ousmane-dieng,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,SF,21,$6670882,RFA,,,
Pacome Dadiet,https://www.spotrac.com/nba/player/_/id/91782/pacome-dadiet,pacome-dadiet,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,SG,19,$2847600,$2983680,$5373608,RFA,
Paolo Banchero,https://www.spotrac.com/nba/player/_/id/78110/paolo-banchero,paolo-banchero,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly,PF,22,$15334769,RFA,,,
Pascal Siakam,https://www.spotrac.com/nba/player/_/id/20232/pascal-siakam,pascal-siakam,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,PF,30,$45550512,$48924624,$52298736,UFA,
Pat Connaughton,https://www.spotrac.com/nba/player/_/id/17869/pat-connaughton,pat-connaughton,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,SG,32,$9423869,UFA,,,
Pat Spencer,https://www.spotrac.com/nba/player/_/id/79256/pat-spencer,pat-spencer,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,G,28,RFA,,,,
Patrick Baldwin Jr.,https://www.spotrac.com/nba/player/_/id/78139/patrick-baldwin,patrick-baldwin,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,SF,22,Two-Way,RFA,,,
Patrick Williams,https://www.spotrac.com/nba/player/_/id/70646/patrick-williams,patrick-williams,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly,PF,23,$18000000,$18000000,$18000000,$18000000,
Patty Mills,https://www.spotrac.com/nba/player/_/id/6322/patty-mills,patty-mills,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,PG,36,UFA,,,,
Paul George,https://www.spotrac.com/nba/player/_/id/6892/paul-george,paul-george,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,SG,34,$51666090,$54126380,$56586670,UFA,
Paul Reed,https://www.spotrac.com/nba/player/_/id/70700/paul-reed,paul-reed,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,C,25,UFA,,,,
Payton Pritchard,https://www.spotrac.com/nba/player/_/id/70668/payton-pritchard,payton-pritchard,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,PG,27,$7232143,$7767857,$8303571,UFA,
Pelle Larsson,https://www.spotrac.com/nba/player/_/id/91787/pelle-larsson,pelle-larsson,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly,SG,23,$1955378,$2296271,RFA,,
