Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Cam Reddish,25,LAL,SF,10,7,213,18,28,.643,9,14,.643,9,14,.643,.804,6,10,.600,6,25,31,5,11,4,4,17,51,0,,cam-reddish,81,8.1,0.38,21.3,3.1
Cam Spencer,24,MEM,SG,2,0,21,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,2,2,2,0,1,1,2,2,0,,cam-spencer,4,2.0,0.19,10.5,0.4
Cam Thomas,23,BRK,SG,17,17,568,137,297,.461,49,126,.389,88,171,.515,.544,97,112,.866,6,49,55,57,12,1,48,34,420,0,,cam-thomas,463,27.2,0.82,33.4,22.2
Cam Whitmore,20,HOU,SF,8,0,79,18,48,.375,1,21,.048,17,27,.630,.385,10,16,.625,4,7,11,4,1,1,3,9,47,0,,cam-whitmore,52,6.5,0.66,9.9,4.3
Cameron Johnson,28,BRK,PF,18,18,586,111,223,.498,59,137,.431,52,86,.605,.630,48,53,.906,12,61,73,52,13,7,13,35,329,0,,cameron-johnson,426,23.7,0.73,32.6,17.2
Cameron Payne,30,NYK,PG,13,0,237,41,94,.436,25,57,.439,16,37,.432,.569,5,7,.714,6,20,26,47,9,4,7,31,112,0,,cameron-payne,160,12.3,0.68,18.2,8.3
Caris LeVert,30,CLE,SG,13,0,317,55,103,.534,22,48,.458,33,55,.600,.641,21,28,.750,9,29,38,58,13,7,14,18,153,0,,caris-levert,237,18.2,0.75,24.4,13.6
Carlton Carrington,19,WAS,PG,15,12,439,51,124,.411,22,61,.361,29,63,.460,.500,18,22,.818,4,58,62,69,18,6,29,44,142,0,,carlton-carrington,224,14.9,0.51,29.3,7.6
Cason Wallace,21,OKC,SG,17,8,426,45,111,.405,13,49,.265,32,62,.516,.464,3,3,1.000,13,40,53,31,28,9,7,35,106,0,,cason-wallace,185,10.9,0.43,25.1,4.7
Charles Bassey,24,SAS,C,9,0,87,13,22,.591,0,0,,13,22,.591,.591,5,8,.625,9,21,30,4,5,12,5,6,31,0,,charles-bassey,71,7.9,0.82,9.7,6.4
Chet Holmgren,22,OKC,C,10,10,265,56,111,.505,14,37,.378,42,74,.568,.568,38,49,.776,16,71,87,20,8,26,23,18,164,0,,chet-holmgren,264,26.4,1.0,26.5,26.3
Chris Boucher,32,TOR,PF,18,0,341,74,148,.500,22,70,.314,52,78,.667,.574,32,43,.744,24,61,85,10,11,15,11,22,202,0,,chris-boucher,290,16.1,0.85,18.9,13.7
Chris Duarte,27,CHI,SG,8,0,35,7,11,.636,4,8,.500,3,3,1.000,.818,6,8,.750,2,4,6,2,0,0,0,1,24,0,,chris-duarte,31,3.9,0.89,4.4,3.4
Chris Livingston,21,MIL,SF,2,0,2,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,1,2,0,0,0,0,0,2,0,,chris-livingston,4,2.0,2.0,1.0,4.0
Chris Paul,39,SAS,PG,17,17,486,63,136,.463,34,88,.386,29,48,.604,.588,22,22,1.000,6,59,65,145,22,3,33,32,182,0,,chris-paul,352,20.7,0.72,28.6,15.0
