Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Coby White,,CHA,,44,,1142,,,,,,,,,,,,,,,,158,184,25,5,114,98,775,,,https://www.nba.com/player/coby-white,https://www.nba.com/team/CHA,coby-white,935,21.2,0.82,26.0,17.4
Cody Martin,,IND,,4,,55,,,,,,,,,,,,,,,,14,2,4,2,4,5,7,,,https://www.nba.com/player/cody-martin,https://www.nba.com/team/IND,cody-martin,20,5.0,0.36,13.8,1.8
Cody Williams,,UTA,,61,,1411,,,,,,,,,,,,,,,,171,103,45,26,61,112,497,,,https://www.nba.com/player/cody-williams,https://www.nba.com/team/UTA,cody-williams,669,11.0,0.47,23.1,5.2
Colby Jones,,DET,,1,,7,,,,,,,,,,,,,,,,4,2,0,0,0,1,2,,,https://www.nba.com/player/colby-jones,https://www.nba.com/team/DET,colby-jones,7,7.0,1.0,7.0,7.0
Cole Anthony,,MIL,,35,,527,,,,,,,,,,,,,,,,87,121,20,11,65,73,234,,,https://www.nba.com/player/cole-anthony,https://www.nba.com/team/MIL,cole-anthony,335,9.6,0.64,15.1,6.1
Colin Castleton,,ORL,,1,,10,,,,,,,,,,,,,,,,4,1,0,0,2,1,2,,,https://www.nba.com/player/colin-castleton,https://www.nba.com/team/ORL,colin-castleton,4,4.0,0.4,10.0,1.6
Collin Gillespie,,PHX,,74,,2140,,,,,,,,,,,,,,,,306,357,93,15,118,121,968,,,https://www.nba.com/player/collin-gillespie,https://www.nba.com/team/PHX,collin-gillespie,1500,20.3,0.7,28.9,14.2
Collin Murray-Boyles,,TOR,,50,,1099,,,,,,,,,,,,,,,,244,94,46,48,55,127,394,,,https://www.nba.com/player/collin-murray-boyles,https://www.nba.com/team/TOR,collin-murray-boyles,644,12.9,0.59,22.0,7.5
Collin Sexton,,CHI,,61,,1408,,,,,,,,,,,,,,,,124,203,60,9,124,122,922,,,https://www.nba.com/player/collin-sexton,https://www.nba.com/team/CHI,collin-sexton,1072,17.6,0.76,23.1,13.4
Cooper Flagg,,DAL,,63,,2132,,,,,,,,,,,,,,,,412,287,74,59,150,130,1279,,,https://www.nba.com/player/cooper-flagg,https://www.nba.com/team/DAL,cooper-flagg,1831,29.1,0.86,33.8,25.0
Corey Kispert,,ATL,,54,,1020,,,,,,,,,,,,,,,,127,88,16,7,43,57,490,,,https://www.nba.com/player/corey-kispert,https://www.nba.com/team/ATL,corey-kispert,628,11.6,0.62,18.9,7.2
Cormac Ryan,,MIL,,4,,40,,,,,,,,,,,,,,,,1,1,3,1,2,7,20,,,https://www.nba.com/player/cormac-ryan,https://www.nba.com/team/MIL,cormac-ryan,17,4.2,0.42,10.0,1.8
Craig Porter Jr.,,CLE,,59,,1039,,,,,,,,,,,,,,,,195,190,55,33,54,66,260,,,https://www.nba.com/player/craig-porter,https://www.nba.com/team/CLE,craig-porter,613,10.4,0.59,17.6,6.1
Curtis Jones,,DEN,,7,,33,,,,,,,,,,,,,,,,5,4,1,0,1,3,9,,,https://www.nba.com/player/curtis-jones,https://www.nba.com/team/DEN,curtis-jones,15,2.1,0.45,4.7,1.0
