"Player Link","Player Key","Signed Using","Formatted Signed Using"
"https://www.spotrac.com/nba/player/_/id/82208","jordan-hawkins","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/27975","jordan-mclaughlin","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/31587","jordan-poole","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/84467","jordan-walsh","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/74331","jose-alvarado","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74113","josh-giddey","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/70660","josh-green","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/23625","josh-hart","",""
"https://www.spotrac.com/nba/player/_/id/78156","josh-minott","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/26986","josh-okogie","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/17868","josh-richardson","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/6316","jrue-holiday","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78268","julian-champagnie","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/84444","julian-phillips","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/84463","julian-strawther","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/15359","julius-randle","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/15368","jusuf-nurkic","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/17829","karl-anthony-towns","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78144","karlo-matkovic","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/8066","kawhi-leonard","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78112","keegan-murray","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/31588","keldon-johnson","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91767","kelel-ware","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/13326","kelly-olynyk","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/17843","kelly-oubre","room-mid-level-exception","Room Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/27758","kenrich-williams","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/13321","kentavious-caldwell-pope","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/70694","kenyon-martin","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/78267","keon-ellis","room-mid-level-exception","Room Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/74128","keon-johnson","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/2717","kevin-durant","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/26985","kevin-huerter","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/6132","kevin-love","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/31589","kevin-porter","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/17858","kevon-looney","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/82209","keyonte-george","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/10864","khris-middleton","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/8062","klay-thompson","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/84464","kobe-brown","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/82271","kobe-bufkin","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/20210","kris-dunn","Early Bird Rights","Early Bird Rights"
"https://www.spotrac.com/nba/player/_/id/82275","kris-murray","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/17832","kristaps-porzingis","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/15382","kyle-anderson","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91757","kyle-filipowski","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/23622","kyle-kuzma","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/2536","kyle-lowry","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/8051","kyrie-irving","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91765","kyshawn-george","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/70645","lamelo-ball","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/17855","larry-nance","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/23602","lauri-markkanen","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/2257","lebron-james","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/82215","leonard-miller","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/75746","lindy-waters","Minimum","Minimum"
