"Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player Key"
"Donovan Mitchell","28","CLE","SG","14","14","436","122","260",".469","53","126",".421","69","134",".515",".571","47","55",".855","8","53","61","57","21","4","29","30","344","0","","donovan-mitchell"
"Donte DiVincenzo","28","MIN","SG","14","0","359","44","126",".349","32","99",".323","12","27",".444",".476","11","14",".786","6","39","45","46","18","4","23","26","131","0","","donte-divincenzo"
"Dorian Finney-Smith","31","BRK","PF","12","12","350","47","104",".452","27","68",".397","20","36",".556",".582","10","16",".625","26","32","58","21","12","8","14","41","131","0","","dorian-finney-smith"
"Doug McDermott","33","SAC","SF","10","2","103","11","37",".297","9","31",".290","2","6",".333",".419","3","5",".600","0","9","9","2","2","1","0","9","34","0","","doug-mcdermott"
"Draymond Green","34","GSW","PF","12","12","334","34","76",".447","19","42",".452","15","34",".441",".572","22","31",".710","9","57","66","64","13","11","21","41","109","0","","draymond-green"
"Drew Eubanks","27","UTA","C","10","0","138","17","29",".586","1","3",".333","16","26",".615",".603","9","13",".692","14","23","37","10","3","6","7","11","44","0","","drew-eubanks"
"Drew Peterson","25","BOS","PF","3","0","7","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","1","1","1","1","2","1","0","0","0","","drew-peterson"
"Dru Smith","27","MIA","SG","4","0","28","2","6",".333","0","1",".000","2","5",".400",".333","0","0","","2","5","7","2","0","4","2","3","4","0","","dru-smith"
"Duncan Robinson","30","MIA","SF","11","0","221","38","98",".388","28","72",".389","10","26",".385",".531","5","5","1.000","3","21","24","19","6","3","7","21","109","0","","duncan-robinson"
"Duop Reath","28","POR","C","7","0","28","3","13",".231","2","9",".222","1","4",".250",".308","0","0","","2","2","4","2","0","1","1","3","8","0","","duop-reath"
"Dwight Powell","33","DAL","C","12","0","110","6","8",".750","0","0","","6","8",".750",".750","11","16",".688","9","17","26","9","4","6","4","21","23","0","","dwight-powell"
"Dyson Daniels","21","ATL","SG","12","12","402","76","161",".472","14","51",".275","62","110",".564",".516","14","23",".609","17","38","55","36","44","10","24","32","180","0","","dyson-daniels"
"E.J. Liddell","24","CHI","PF","1","0","1","0","0","","0","0","","0","0","","","0","0","","0","0","0","0","0","0","0","0","0","0","","ej-liddell"
"Enrique Freeman","24","IND","PF","6","0","49","1","6",".167","0","2",".000","1","4",".250",".167","4","4","1.000","1","3","4","3","1","1","1","7","6","0","","enrique-freeman"
"Eric Gordon","36","PHI","SG","10","1","193","18","47",".383","8","27",".296","10","20",".500",".468","14","18",".778","2","8","10","13","3","3","12","9","58","0","","eric-gordon"
"Evan Mobley","23","CLE","PF","14","14","429","100","175",".571","9","24",".375","91","151",".603",".597","45","55",".818","26","97","123","33","13","21","33","32","254","0","","evan-mobley"
"Franz Wagner","23","ORL","SF","14","14","429","116","248",".468","28","81",".346","88","167",".527",".524","51","60",".850","15","63","78","67","21","4","28","30","311","0","","franz-wagner"
"Fred VanVleet","30","HOU","PG","13","13","452","70","174",".402","29","92",".315","41","82",".500",".486","24","32",".750","10","48","58","80","23","5","15","33","193","0","","fred-vanvleet"
"Gabe Vincent","28","LAL","PG","13","0","235","15","54",".278","6","34",".176","9","20",".450",".333","2","4",".500","4","9","13","7","9","0","7","19","38","0","","gabe-vincent"
"Garrett Temple","38","TOR","SG","4","0","13","1","3",".333","0","1",".000","1","2",".500",".333","0","0","","1","0","1","2","1","0","1","3","2","0","","garrett-temple"
"Garrison Mathews","28","ATL","SG","13","0","275","38","83",".458","32","70",".457","6","13",".462",".651","23","26",".885","3","13","16","21","10","3","7","26","131","0","","garrison-mathews"
"Gary Harris","30","ORL","SG","12","0","205","16","45",".356","12","34",".353","4","11",".364",".489","2","3",".667","6","12","18","6","4","5","5","5","46","0","","gary-harris"
"Gary Payton II","32","GSW","PG","12","2","142","25","36",".694","2","8",".250","23","28",".821",".722","5","8",".625","10","11","21","13","8","4","8","17","57","0","","gary-payton"
"Gary Trent Jr.","26","MIL","SG","11","7","273","26","79",".329","14","51",".275","12","28",".429",".418","13","14",".929","0","16","16","11","11","0","7","23","79","0","","gary-trent"
"Georges Niang","31","CLE","PF","15","1","288","46","96",".479","23","64",".359","23","32",".719",".599","2","3",".667","8","43","51","15","7","4","14","33","117","0","","georges-niang"
"Giannis Antetokounmpo","30","MIL","PF","12","12","423","157","259",".606","2","10",".200","155","249",".622",".610","72","119",".605","27","121","148","73","6","17","33","37","388","1","","giannis-antetokounmpo"
"Goga Bitadze","25","ORL","C","10","7","197","32","47",".681","0","5",".000","32","42",".762",".681","6","9",".667","28","37","65","17","5","13","14","20","70","0","","goga-bitadze"
"Gradey Dick","21","TOR","SG","14","14","461","89","212",".420","33","98",".337","56","114",".491",".498","55","61",".902","8","30","38","33","13","5","22","28","266","0","","gradey-dick"
"Grant Williams","26","CHO","PF","13","4","374","43","99",".434","24","65",".369","19","34",".559",".556","20","25",".800","13","52","65","30","16","8","22","41","130","0","","grant-williams"
"Grayson Allen","29","PHO","SG","10","0","211","31","82",".378","23","63",".365","8","19",".421",".518","14","16",".875","6","18","24","10","7","4","10","11","99","0","","grayson-allen"
"Guerschon Yabusele","29","PHI","PF","12","1","267","41","85",".482","18","48",".375","23","37",".622",".588","10","16",".625","19","40","59","22","10","5","16","35","110","0","","guerschon-yabusele"
