"Player","Player Link","Player Key","Signed Using"
"Josh Okogie","https://www.spotrac.com/nba/player/_/id/26986","josh-okogie","Early Bird Rights"
"Josh Richardson","https://www.spotrac.com/nba/player/_/id/17868","josh-richardson","Minimum"
"Jrue Holiday","https://www.spotrac.com/nba/player/_/id/6316","jrue-holiday","Bird Rights"
"Julian Champagnie","https://www.spotrac.com/nba/player/_/id/78268","julian-champagnie","Cap Space"
"Julian Phillips","https://www.spotrac.com/nba/player/_/id/84444","julian-phillips","Second Round Exception"
"Julian Strawther","https://www.spotrac.com/nba/player/_/id/84463","julian-strawther","Rookie Scale Exception"
"Julius Randle","https://www.spotrac.com/nba/player/_/id/15359","julius-randle","Bird Rights"
"Jusuf Nurkic","https://www.spotrac.com/nba/player/_/id/15368","jusuf-nurkic","Bird Rights"
"Karl-Anthony Towns","https://www.spotrac.com/nba/player/_/id/17829","karl-anthony-towns","Bird Rights"
"Karlo Matkovic","https://www.spotrac.com/nba/player/_/id/78144","karlo-matkovic","Second Round Exception"
"Kawhi Leonard","https://www.spotrac.com/nba/player/_/id/8066","kawhi-leonard","Bird Rights"
"Keegan Murray","https://www.spotrac.com/nba/player/_/id/78112","keegan-murray","Rookie Scale Exception"
"Keldon Johnson","https://www.spotrac.com/nba/player/_/id/31588","keldon-johnson","Bird Rights"
"Kel'el Ware","https://www.spotrac.com/nba/player/_/id/91767","kelel-ware","Rookie Scale Exception"
"Kelly Olynyk","https://www.spotrac.com/nba/player/_/id/13326","kelly-olynyk","Bird Rights"
"Kelly Oubre Jr.","https://www.spotrac.com/nba/player/_/id/17843","kelly-oubre","Room Mid-Level Exception"
"Kenrich Williams","https://www.spotrac.com/nba/player/_/id/27758","kenrich-williams","Bird Rights"
"Kentavious Caldwell-Pope","https://www.spotrac.com/nba/player/_/id/13321","kentavious-caldwell-pope","Cap Space"
"Kenyon Martin Jr.","https://www.spotrac.com/nba/player/_/id/70694","kenyon-martin","Bird Rights"
"Keon Ellis","https://www.spotrac.com/nba/player/_/id/78267","keon-ellis","Room Mid-Level Exception"
"Keon Johnson","https://www.spotrac.com/nba/player/_/id/74128","keon-johnson","Minimum"
"Kevin Durant","https://www.spotrac.com/nba/player/_/id/2717","kevin-durant","Bird Rights"
"Kevin Huerter","https://www.spotrac.com/nba/player/_/id/26985","kevin-huerter","Bird Rights"
"Kevin Love","https://www.spotrac.com/nba/player/_/id/6132","kevin-love","Early Bird Rights"
"Kevin Porter Jr.","https://www.spotrac.com/nba/player/_/id/31589","kevin-porter","Minimum"
"Kevon Looney","https://www.spotrac.com/nba/player/_/id/17858","kevon-looney","Bird Rights"
"Keyonte George","https://www.spotrac.com/nba/player/_/id/82209","keyonte-george","Rookie Scale Exception"
"Khris Middleton","https://www.spotrac.com/nba/player/_/id/10864","khris-middleton","Bird Rights"
"Klay Thompson","https://www.spotrac.com/nba/player/_/id/8062","klay-thompson","Bird Rights"
"Kobe Brown","https://www.spotrac.com/nba/player/_/id/84464","kobe-brown","Rookie Scale Exception"
"Kobe Bufkin","https://www.spotrac.com/nba/player/_/id/82271","kobe-bufkin","Rookie Scale Exception"
"Kris Dunn","https://www.spotrac.com/nba/player/_/id/20210","kris-dunn","Early Bird Rights"
"Kris Murray","https://www.spotrac.com/nba/player/_/id/82275","kris-murray","Rookie Scale Exception"
"Kristaps Porzingis","https://www.spotrac.com/nba/player/_/id/17832","kristaps-porzingis","Bird Rights"
"Kyle Anderson","https://www.spotrac.com/nba/player/_/id/15382","kyle-anderson","Bird Rights"
"Kyle Filipowski","https://www.spotrac.com/nba/player/_/id/91757","kyle-filipowski","Minimum"
