Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Ben Sheppard,23,IND,SG,13,5,272,28,66,.424,19,47,.404,9,19,.474,.568,0,0,,5,24,29,17,5,4,5,33,75,0,,ben-sheppard,92,7.1,0.34,20.9,2.4
Ben Simmons,28,BRK,PG,11,9,269,30,53,.566,0,0,,30,53,.566,.566,3,4,.750,13,54,67,75,10,6,32,34,63,0,,ben-simmons,155,14.1,0.58,24.5,8.1
Bennedict Mathurin,22,IND,SG,14,9,437,90,168,.536,25,54,.463,65,114,.570,.610,69,84,.821,18,76,94,24,9,2,26,34,274,0,,bennedict-mathurin,343,24.5,0.78,31.2,19.2
Bilal Coulibaly,20,WAS,SF,12,12,415,67,121,.554,13,35,.371,54,86,.628,.607,30,40,.750,23,46,69,31,15,8,26,30,177,0,,bilal-coulibaly,244,20.3,0.59,34.6,12.0
Blake Wesley,21,SAS,SG,13,0,153,22,50,.440,2,13,.154,20,37,.541,.460,9,11,.818,3,5,8,22,5,1,14,9,55,0,,blake-wesley,68,5.2,0.44,11.8,2.3
Bobby Portis,29,MIL,PF,13,1,313,75,160,.469,11,40,.275,64,120,.533,.503,13,18,.722,26,75,101,12,5,7,16,21,174,0,,bobby-portis,262,20.2,0.84,24.1,16.9
Bogdan Bogdanović,32,ATL,SG,2,0,46,4,13,.308,4,12,.333,0,1,.000,.462,2,2,1.000,0,5,5,5,0,2,2,4,14,0,,bogdan-bogdanovic,20,10.0,0.43,23.0,4.3
Bol Bol,25,PHO,PF,3,0,17,3,7,.429,1,4,.250,2,3,.667,.500,4,6,.667,1,2,3,1,0,0,1,1,11,0,,bol-bol,13,4.3,0.76,5.7,3.3
Bones Hyland,24,LAC,PG,4,0,21,5,14,.357,3,7,.429,2,7,.286,.464,4,4,1.000,1,2,3,0,2,2,1,2,17,0,,bones-hyland,21,5.2,1.0,5.2,5.2
Bradley Beal,31,PHO,SG,9,9,313,58,122,.475,23,60,.383,35,62,.565,.570,21,26,.808,6,30,36,33,13,8,12,24,160,0,,bradley-beal,214,23.8,0.68,34.8,16.3
Brandin Podziemski,21,GSW,SG,12,3,298,38,100,.380,9,47,.191,29,53,.547,.425,9,15,.600,13,45,58,41,11,4,16,29,94,0,,brandin-podziemski,163,13.6,0.55,24.8,7.4
Brandon Boston Jr.,23,NOP,SG,12,8,349,54,124,.435,17,47,.362,37,77,.481,.504,20,22,.909,11,41,52,47,17,3,18,19,145,0,,brandon-boston,227,18.9,0.65,29.1,12.3
Brandon Clarke,28,MEM,PF,14,5,222,35,68,.515,1,13,.077,34,55,.618,.522,10,13,.769,15,35,50,9,13,1,5,21,81,0,,brandon-clarke,128,9.1,0.58,15.9,5.3
Brandon Ingram,27,NOP,SF,15,15,504,137,294,.466,37,100,.370,100,194,.515,.529,37,43,.860,15,74,89,80,13,8,58,39,348,0,,brandon-ingram,441,29.4,0.88,33.6,25.7
Brandon Miller,22,CHO,SF,10,10,310,59,153,.386,31,94,.330,28,59,.475,.487,18,19,.947,6,35,41,38,15,5,19,22,167,0,,brandon-miller,225,22.5,0.73,31.0,16.3
Brandon Williams,25,DAL,PG,5,0,21,2,9,.222,0,2,.000,2,7,.286,.222,2,3,.667,1,3,4,2,0,0,2,2,6,0,,brandon-williams,8,1.6,0.38,4.2,0.6
Brice Sensabaugh,21,UTA,SF,9,0,113,15,34,.441,8,22,.364,7,12,.583,.559,8,9,.889,6,11,17,4,3,0,11,3,46,0,,brice-sensabaugh,56,6.2,0.5,12.6,3.1
Bronny James,20,LAL,SG,6,0,16,1,6,.167,0,4,.000,1,2,.500,.167,2,2,1.000,1,0,1,2,1,0,0,2,4,0,,bronny-james,6,1.0,0.38,2.7,0.4
Brook Lopez,36,MIL,C,14,14,453,60,137,.438,26,78,.333,34,59,.576,.533,18,25,.720,17,57,74,21,19,34,18,36,164,0,,brook-lopez,258,18.4,0.57,32.4,10.5
Bruno Fernando,26,TOR,C,11,0,100,17,35,.486,0,0,,17,35,.486,.486,5,6,.833,16,21,37,12,1,7,10,18,39,0,,bruno-fernando,68,6.2,0.68,9.1,4.2
Buddy Hield,32,GSW,SG,13,1,323,80,163,.491,48,104,.462,32,59,.542,.638,12,14,.857,11,39,50,24,11,5,16,28,220,0,,buddy-hield,266,20.5,0.82,24.8,16.9
Cade Cunningham,23,DET,PG,16,16,581,140,314,.446,36,97,.371,104,217,.479,.503,56,69,.812,15,101,116,141,14,15,74,41,372,4,,cade-cunningham,543,33.9,0.93,36.3,31.7
Caleb Houstan,22,ORL,SF,9,0,43,3,13,.231,2,10,.200,1,3,.333,.308,0,0,,1,6,7,0,0,1,0,6,8,0,,caleb-houstan,10,1.1,0.23,4.8,0.3
Caleb Martin,29,PHI,SF,13,12,437,49,114,.430,13,40,.325,36,74,.486,.487,32,47,.681,22,51,73,32,16,4,27,29,143,0,,caleb-martin,212,16.3,0.49,33.6,7.9
